match_title,event_name,team_a,team_b,odds_a,odds_b,true_prob_a,true_prob_b,vig_percent,extraction_layer,winner,loser,team_a_score,team_b_score,status,completed_at
TYLOO vs Sharks,IEM Cologne Major 2026 Stage 1,TYLOO,Sharks,1.39,2.81,,,,,TYLOO,,2,1,completed,2026-06-06 18:16:25.178673+00:00
Liquid vs HEROIC,IEM Cologne Major 2026 Stage 1,Liquid,HEROIC,1.21,4.53,78.92,21.08,4.72,,Liquid,,2,0,completed,2026-06-06 18:16:25.178673+00:00
VP.Prodigy vs Clutchain,ESEA Advanced Season 57 Europe,VP.Prodigy,Clutchain,1.58,2.3,59.28,40.72,6.77,,Clutchain,,1,2,completed,2026-06-06 18:16:25.178673+00:00
Bushido Wildcats vs ex-RUBY,CCT 2026 Europe Series 3,Bushido Wildcats,ex-RUBY,1.5,2.5,62.5,37.5,6.67,,ex-RUBY,,0,2,completed,2026-06-06 18:16:25.178673+00:00
XI vs LFO 6,ESEA Advanced Season 57 Europe,XI,LFO 6,1.53,2.42,61.27,38.73,6.68,,XI,,2,0,completed,2026-06-06 18:16:25.178673+00:00
ZOTIX vs Banger Gang,ESEA Advanced Season 57 Europe,ZOTIX,Banger Gang,1.31,3.2,70.95,29.05,7.59,,Banger Gang,,1,2,completed,2026-06-06 18:16:25.178673+00:00
DONSTU vs COPH9K,ESEA Advanced Season 57 Europe,DONSTU,COPH9K,1.85,1.85,50.0,50.0,8.11,,DONSTU,,2,0,completed,2026-06-06 18:16:25.178673+00:00
Fire Flux vs Arch,ESEA Advanced Season 57 Europe,Fire Flux,Arch,1.5,2.5,62.5,37.5,6.67,,Fire Flux,,2,1,completed,2026-06-06 18:16:25.178673+00:00
G2 vs M80,IEM Cologne Major 2026 Stage 2,G2,M80,2.97,1.37,31.57,68.43,6.66,,G2,,13,8,completed,2026-06-06 18:16:25.178673+00:00
Spirit vs BetBoom,IEM Cologne Major 2026 Stage 2,Spirit,BetBoom,1.5,2.5,62.5,37.5,6.67,,Spirit,,13,5,completed,2026-06-06 18:16:25.178673+00:00
9z vs FlyQuest,IEM Cologne Major 2026 Stage 2,9z,FlyQuest,1.5,2.5,62.5,37.5,6.67,,9z,,13,9,completed,2026-06-06 18:16:25.178673+00:00
paiN vs TYLOO,IEM Cologne Major 2026 Stage 2,paiN,TYLOO,1.5,2.5,62.5,37.5,6.67,,TYLOO,,9,13,completed,2026-06-06 18:16:25.178673+00:00
